,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6687,decreasing,psnr,20,5,1024,noconstraints,0,0,0,50.0,14.179000854492188,14.159114837646484,14.117626190185549,14.117748260498049
6688,decreasing,psnr,20,5,1024,noconstraints,0,0,0,75.0,10.558582305908203,10.514602661132812,10.472938537597656,10.561161041259766
6689,decreasing,psnr,20,5,1024,noconstraints,0,0,0,100.0,7.9894866943359375,7.908653259277344,7.913719177246094,7.986457824707031
6690,decreasing,psnr,20,5,1024,noconstraints,0,1,0,1.0,34.03142166137695,30.439830780029297,27.415340423583984,31.21761512756348
6691,decreasing,psnr,20,5,1024,noconstraints,0,1,0,2.0,33.970794677734375,30.424150466918945,27.40167236328125,31.19010162353516
6692,decreasing,psnr,20,5,1024,noconstraints,0,1,0,5.0,33.590511322021484,30.213945388793945,27.304033279418945,30.98243522644043
6693,decreasing,psnr,20,5,1024,noconstraints,0,1,0,10.0,32.41755676269531,29.54781723022461,26.98375129699707,30.298799514770508
6694,decreasing,psnr,20,5,1024,noconstraints,0,1,0,15.0,30.87677955627441,28.55805778503418,26.475210189819336,29.336822509765625
6695,decreasing,psnr,20,5,1024,noconstraints,0,1,0,20.0,29.33457565307617,27.48867416381836,25.810741424560547,28.250368118286133
6696,decreasing,psnr,20,5,1024,noconstraints,0,1,0,25.0,27.898054122924805,26.362060546875,25.05410385131836,27.087217330932617
6697,decreasing,psnr,20,5,1024,noconstraints,0,1,0,50.0,21.902719497680664,21.288328170776367,21.039569854736328,21.870853424072266
6698,decreasing,psnr,20,5,1024,noconstraints,0,1,0,75.0,17.961017608642578,17.66016387939453,17.605937957763672,17.984689712524414
6699,decreasing,psnr,20,5,1024,noconstraints,0,1,0,100.0,14.916862487792969,15.190696716308594,15.052101135253906,15.152225494384766
6700,decreasing,psnr,20,5,1024,noconstraints,1,1,0,1.0,48.1479606628418,48.166114807128906,48.14872360229492,48.15264129638672
6701,decreasing,psnr,20,5,1024,noconstraints,1,1,0,2.0,42.17597961425781,42.1982421875,42.13522338867188,42.12393569946289
6702,decreasing,psnr,20,5,1024,noconstraints,1,1,0,5.0,34.55455780029297,34.62859344482422,34.58332824707031,34.56725311279297
6703,decreasing,psnr,20,5,1024,noconstraints,1,1,0,10.0,28.65633773803711,28.74323081970215,28.70161247253418,28.655208587646484
6704,decreasing,psnr,20,5,1024,noconstraints,1,1,0,15.0,24.86430549621582,24.979320526123047,25.03685760498047,24.974687576293945
6705,decreasing,psnr,20,5,1024,noconstraints,1,1,0,20.0,22.33020401000977,22.70880889892578,22.64495277404785,22.452735900878903
